TV_Ads,Social_Media_Ads,Influencer_Marketing,Discount_Percentage,Website_Visits,Customer_Rating,Sales_Revenue
25795,20305,19449,27,4155,4.9,232530
10860,14817,20520,33,9321,4.0,267866
86820,16261,29025,22,4814,4.0,157440
64886,5417,12535,35,14125,4.4,271086
16265,46576,28439,34,4216,4.5,55473
92386,25358,11510,43,3113,4.1,136113
47194,8267,8943,39,11238,2.8,247586
97498,22209,13954,22,14760,3.3,267308
54131,29052,9804,46,13588,4.8,319026
70263,43513,8565,43,4374,3.1,183035
26023,31092,7984,21,7430,3.4,171085
51090,16338,23526,18,12970,3.6,239121
77221,5412,6670,35,1629,3.6,133382
74820,12543,20574,28,17653,4.0,385929
10769,45355,11184,39,11831,4.9,226289
69735,38496,21096,48,6724,3.1,292057
72955,28548,4192,49,12083,2.8,291025
74925,32384,3248,38,14149,3.0,317746
77969,49425,13246,7,10472,4.7,280785
15311,43756,14790,41,7276,4.1,222056
93104,23888,22417,47,16635,3.2,422223
63707,40735,20381,44,6895,4.5,243138
95305,22506,5687,30,14994,4.7,308008
38693,25463,28727,27,11552,4.6,286208
81932,22955,6018,48,17959,4.8,343817
35658,42841,13302,43,7099,3.1,214163
94478,10104,3970,19,10499,4.4,250210
28431,39911,10389,8,4178,3.7,113470
12747,28190,24149,33,7116,4.6,193051
69150,12357,29202,26,16563,4.3,253084
75725,37479,19586,29,4568,4.4,150874
94654,49811,26519,17,10847,4.1,271432
45773,41208,23951,22,15135,2.9,315730
77435,25150,26051,37,19587,3.9,356621
66886,10644,17374,20,18774,5.0,438441
76803,48286,24126,49,2742,4.8,138799
41551,7914,7788,46,19309,2.6,432186
21394,26352,7408,48,1619,2.9,142002
79092,49912,28611,6,18658,2.8,323041
13890,19397,27053,39,18340,4.3,460186
51606,46555,11446,46,2939,4.5,107593
90038,5728,2922,38,17001,3.0,404102
97313,5698,2419,34,1968,3.8,186716
20627,44954,20588,17,15846,4.6,283934
18792,18923,12789,17,1281,4.3,157504
83969,21779,3120,22,16360,3.9,325955
53001,12400,13260,36,7262,4.0,222867
86552,29466,19334,36,2058,3.8,159012
33897,41939,4336,39,11724,3.2,264760
78148,9360,7373,43,6178,3.9,247176
33483,40270,4243,33,7980,4.2,255209
58555,22101,21029,33,10200,4.7,172998
27159,37307,28433,48,2229,4.1,213571
90077,10486,6612,20,9467,4.4,153551
45920,13335,15946,48,3289,2.9,204357
77121,26364,20249,14,2239,3.7,173953
79479,42259,13104,34,6370,2.5,142804
99475,28576,15429,29,17170,3.1,341655
29457,36667,29429,43,1125,4.3,72952
76557,16130,24412,24,13504,5.0,296323
87189,26972,25710,9,16398,2.7,305369
88953,45419,8371,5,7638,3.5,231715
62995,6167,8359,34,7570,4.5,281127
50757,32192,9863,7,4249,3.0,193704
19692,6062,5228,49,10110,3.9,222994
55758,23540,22103,18,8595,4.3,204284
82409,29244,29804,34,14605,4.0,249818
81211,26545,16382,8,13115,3.0,228367
75697,26689,20755,22,7294,3.4,248569
47065,16174,4891,41,6757,4.5,288828
42606,27925,5756,29,13595,3.9,231252
21534,42497,22609,5,2969,2.5,63594
50397,14348,17770,19,11985,4.4,261234
11016,28714,18478,13,18275,2.6,339262
99789,43102,4674,19,5470,4.4,146206
65591,13924,8898,28,11225,3.0,275395
99812,42098,12147,8,10556,4.9,231336
33247,29394,2793,16,10206,3.4,218310
34300,11801,28410,41,10991,3.3,288416
84065,42614,4116,41,8519,2.9,241405
92798,11731,7779,47,14669,3.3,317983
19268,28625,14298,10,5612,4.7,145059
96807,22337,29901,43,13373,5.0,333223
22185,40307,16153,28,18582,3.4,342101
73704,12056,13111,15,16552,3.6,313572
96779,16516,12789,17,15646,4.3,409981
49099,49261,13397,38,6238,4.7,236995
18571,6542,14999,29,16577,4.0,311816
48044,26677,24550,11,16504,3.5,352002
61214,44081,2814,8,4719,3.5,124701
71228,32569,18729,12,1302,4.2,163004
58984,28322,12541,24,13144,2.5,294675
50774,24065,26938,33,18370,4.0,370959
12568,22924,4443,49,11055,3.4,285229
72592,27556,12457,14,5440,4.5,90643
77563,31962,12380,47,4072,2.7,120355
12695,33295,9783,38,14598,4.0,251597
58190,18807,29581,30,15287,3.7,333036
15258,47348,13473,45,14965,4.1,417772
97538,31432,19368,7,10519,2.7,345219
49504,22749,17328,10,14380,3.9,317281
43159,46459,26174,9,12865,3.9,291972
23986,31256,28215,9,9125,3.9,110674
71858,45262,2827,27,4291,4.0,138662
22666,42080,29306,13,5033,4.2,109620
48660,6324,21915,39,6105,4.5,166327
13561,30731,9147,24,18087,3.2,331556
36854,40909,6451,46,9133,4.6,229806
74505,28803,17343,39,17958,3.7,283551
62251,24870,15635,22,6704,2.7,217087
32662,39578,29511,21,8848,2.6,152311
18392,11588,22260,28,13975,3.3,295373
40535,43069,7959,7,7924,4.5,293510
88603,31790,2126,36,1488,4.3,93334
62256,30289,21561,39,8114,4.5,111669
99135,33178,29632,42,16740,3.8,366517
45222,33710,10795,17,4173,3.6,193257
87373,20485,13641,29,2667,2.9,234352
89575,49482,24408,13,5114,3.3,105835
94651,25652,23493,8,4553,3.6,175769
73335,9748,22530,18,8761,2.7,183959
20965,26233,9196,41,2000,3.1,114437
34538,14435,13559,38,16638,4.0,477796
80592,8709,5368,15,18772,4.3,290289
18110,35355,5797,45,6450,5.0,219773
89309,18116,17114,7,4712,4.8,180074
37266,30470,15718,32,2367,4.1,184798
62992,47344,3792,33,9189,3.6,245775
92948,47918,13053,13,10013,4.1,261119
16910,44298,24116,7,17838,4.5,314203
10206,47956,5476,29,4726,2.8,158202
97054,19683,5417,38,5806,3.5,183503
97897,5504,3645,16,3190,4.6,171297
33419,38982,16755,46,10108,3.5,241132
60636,39299,27781,13,13178,3.9,299928
60015,33016,21414,19,3875,4.0,145003
64268,28960,21256,44,6592,3.0,265967
97939,38591,5072,29,18824,3.4,386731
28141,22312,3854,9,13592,3.3,168626
90356,42797,22405,15,9927,2.6,297605
81910,7105,6662,38,15437,2.6,284445
66044,41395,8514,28,12530,4.6,260828
77214,27700,23415,19,8010,3.2,177399
43827,39620,4708,42,12207,3.8,358812
65820,42678,13694,12,3989,3.2,29496
72623,25559,25496,9,13040,4.9,439394
91734,32509,11524,30,10218,3.1,309411
85450,32860,26777,22,7471,3.6,221904
32299,16003,21891,10,3863,4.7,124483
53585,26732,8456,41,11693,4.6,302801
74044,30826,6212,17,2177,3.0,137975
52557,35354,15224,32,5760,4.5,223339
59080,18843,9970,9,1011,3.6,109927
12693,49472,27150,17,17353,3.7,337014
79163,11190,18920,21,12556,2.8,260361
35939,22640,3625,44,12563,2.7,274244
58925,43413,12314,49,15051,4.3,343159
52941,47356,9973,36,12022,3.7,342181
31834,49597,10577,33,9234,3.6,262244
28047,45821,10070,7,17173,4.3,176661
36105,8330,29857,44,14178,4.4,354155
85766,24087,10666,38,7570,2.9,230259
25707,46430,26993,44,1406,4.0,130958
31976,29504,24874,31,10206,2.8,216806
54262,12114,5600,17,5431,4.4,216410
33776,18323,8783,49,7542,4.1,270265
40080,39121,15226,37,9906,4.9,220399
76842,15975,11146,10,5146,2.7,164260
71373,16023,6971,28,13046,2.6,231887
16776,26447,15490,23,13611,3.2,203965
65016,29933,19589,20,14076,3.2,263560
19474,28959,14951,44,17524,3.1,400625
68053,5667,14312,32,5882,4.8,240783
31959,34703,3990,37,15113,3.1,342208
15530,14337,7299,45,14645,3.2,346009
13748,41487,14997,17,7012,4.4,204771
23545,24129,21956,47,18347,3.6,346995
76199,45251,24359,49,8151,4.4,280715
44766,36921,15472,29,4610,2.7,193563
83530,38307,24704,46,10884,3.7,329527
71087,32355,6380,40,7894,2.6,280900
78840,42732,6757,31,14467,2.7,350848
64384,9835,21097,42,17489,4.8,397919
61005,25159,12395,11,10873,2.8,282323
56576,43810,18241,9,13289,3.8,273611
49353,45080,7588,47,13208,3.5,268487
72003,43088,29696,49,11828,3.4,297178
93211,18216,19350,35,3137,4.7,130457
62733,40547,6944,27,2286,2.6,87213
75318,36471,15395,46,16710,4.2,370782
99474,22308,21816,14,12371,4.9,246700
33664,32532,19072,36,16945,3.9,336906
77172,39349,6243,47,8052,4.8,158995
95616,10713,22085,34,4654,2.6,182635
36736,9804,26917,43,19743,3.5,396497
10854,15136,23566,35,16600,3.2,288041
48623,5009,11916,22,9636,4.3,258955
17392,24255,25088,40,7441,5.0,263662
65680,28793,22806,6,10667,3.1,146374
56717,34548,11984,18,13149,4.1,244383
97092,42892,3759,17,2798,3.0,93369
60859,6015,29788,33,10600,3.9,211566
36309,32712,11181,16,6495,3.7,210821
97455,39961,28838,43,10900,4.9,294475
73734,13415,4482,6,14673,4.0,276126
80467,28833,26442,36,12130,3.4,192816
62662,9158,2951,17,16222,2.8,342712
22688,25309,27298,31,2300,2.9,52664
35342,11970,29965,45,10435,3.1,259676
47157,11938,4079,21,5616,3.1,168414
77863,26168,4717,44,17393,4.6,453265
62083,25384,28908,35,11617,3.9,215870
75733,23017,29952,38,6752,3.8,64555
99045,15344,22908,28,10852,2.8,271055
44698,45034,11692,49,7295,4.7,325091
90623,13702,26861,39,18456,4.3,460503
32671,5384,9311,10,4225,2.7,122101
35184,5404,25570,23,2316,4.3,90937
52107,45943,20449,34,13337,3.9,346224
96202,34189,2768,11,7807,2.7,145999
61663,17763,7490,14,4683,3.6,167183
25708,23384,17534,45,8227,3.7,250629
59811,37606,29633,36,4273,2.9,219767
12811,14860,8645,38,1145,4.9,249885
66250,43757,23467,32,6010,4.6,223790
82082,20106,7232,19,17035,4.2,321678
44754,28574,28737,34,4040,3.7,158276
21411,28524,13485,41,10654,3.5,165878
12911,8636,7797,33,17866,4.1,313891
77270,15916,27522,26,18633,3.9,357958
93763,9809,23310,8,18014,2.7,315136
18680,37201,24400,24,15996,3.8,327475
94896,18456,21719,36,17336,4.5,340290
93879,43765,14342,40,9853,3.6,327313
81295,39816,10038,8,12695,2.6,261250
98614,22100,18002,31,3852,4.5,174155
21111,26949,15087,21,17014,3.0,305158
47504,9544,6873,16,1987,3.1,101951
11802,42744,3481,26,8622,2.9,240497
18155,47783,12093,21,10160,3.3,181362
83656,31657,24689,14,18484,4.4,338485
49384,41187,21835,5,7652,3.8,167941
57254,12239,16422,26,8421,3.0,140604
31918,19489,18438,30,1769,4.7,78903
95981,48125,9643,22,18727,4.7,368647
70713,33538,28399,18,15114,4.7,368443
40306,37049,21846,33,5358,3.1,185636
26646,42131,17708,16,12543,3.6,269224
56843,47944,13271,40,19733,5.0,461075
26371,13427,19216,39,6699,4.4,192046
87371,46348,14600,16,18625,2.6,383985
12049,29285,12998,11,2125,2.7,75651
41616,42626,24338,33,11793,3.7,289452
30932,47808,16295,15,7764,4.8,169759
39855,27928,12682,37,13323,3.8,176171
71434,24198,18380,10,14031,3.7,280078
82694,24758,10519,19,15052,2.8,379353
53016,20254,25605,36,13640,4.1,355650
17400,49238,21694,15,8843,4.6,258453
52642,6252,5300,27,15210,3.5,371404
25151,44764,8722,30,17456,4.4,359211
61407,17173,9218,38,11106,4.9,288885
76690,42441,26160,38,6189,3.0,174236
14499,31698,22059,33,3472,3.8,123687
16295,20781,5054,8,18091,3.2,349262
69040,18051,15575,21,19188,4.5,441005
